# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: P:\chip_design\apple_chipset_modular\soc_toplevel\soc_toplevel.csv
# Generated on: Sun Nov 26 12:41:43 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk_50m_i,Input,PIN_M9,3B,B3B_N0,PIN_M9,2.5 V,,,,,,,,,,,,,
clk_126m_o,Output,PIN_G18,7A,B7A_N0,PIN_G18,2.5 V,,,,,,,,,,,,,
dma_busy_o,Output,PIN_T8,3A,B3A_N0,PIN_T8,2.5 V,,,,,,,,,,,,,
i_pll_locked,Output,PIN_M7,3A,B3A_N0,PIN_M7,2.5 V,,,,,,,,,,,,,
memory_busy_o,Output,PIN_R5,3A,B3A_N0,PIN_R5,2.5 V,,,,,,,,,,,,,
refresh_busy_o,Output,PIN_N6,3A,B3A_N0,PIN_N6,2.5 V,,,,,,,,,,,,,
reset_i,Input,PIN_J17,7A,B7A_N0,PIN_J17,2.5 V,,,,,,,,,,,,,
rxd_line,Input,PIN_AB5,3B,B3B_N0,PIN_AB5,2.5 V,,,,,,,,,,,,,
sdAddr_o[0],Output,PIN_M18,5B,B5B_N0,PIN_M18,2.5 V,,,,,,,,,,,,,
sdAddr_o[1],Output,PIN_M20,5B,B5B_N0,PIN_M20,2.5 V,,,,,,,,,,,,,
sdAddr_o[2],Output,PIN_M16,5B,B5B_N0,PIN_M16,2.5 V,,,,,,,,,,,,,
sdAddr_o[3],Output,PIN_L17,5B,B5B_N0,PIN_L17,2.5 V,,,,,,,,,,,,,
sdAddr_o[4],Output,PIN_L19,5B,B5B_N0,PIN_L19,2.5 V,,,,,,,,,,,,,
sdAddr_o[5],Output,PIN_L18,5B,B5B_N0,PIN_L18,2.5 V,,,,,,,,,,,,,
sdAddr_o[6],Output,PIN_K16,7A,B7A_N0,PIN_K16,2.5 V,,,,,,,,,,,,,
sdAddr_o[7],Output,PIN_K17,5B,B5B_N0,PIN_K17,2.5 V,,,,,,,,,,,,,
sdAddr_o[8],Output,PIN_J18,7A,B7A_N0,PIN_J18,2.5 V,,,,,,,,,,,,,
